id,latitude,longitude,tipo_POI
0,-22.818201321579572,-46.98846724267445,faculdades
1,-23.0094211491482,-47.179459557412855,faculdades
2,-22.86165222369382,-46.9412593091006,faculdades
3,-23.00085362664786,-47.167633211081906,faculdades
4,-22.917815494642575,-47.12111106919415,faculdades
5,-22.964228253318744,-47.08869422470644,faculdades
6,-22.90980617246093,-46.907992192484855,faculdades
7,-22.96008859126606,-47.204623411476994,faculdades
8,-22.834057616053197,-47.0568564238342,faculdades
9,-23.031839361367926,-47.16220614028272,faculdades
10,-23.046203113731874,-47.106397729385364,faculdades
11,-22.93218008223851,-47.12968856416813,faculdades
12,-22.78608312446025,-47.092839926585235,faculdades
13,-22.804838324463322,-47.161027034931585,faculdades
14,-22.826546498737123,-46.932226846159395,faculdades
15,-22.942210112170407,-47.19677213595079,faculdades
16,-22.77467387712878,-46.977836193471155,faculdades
17,-22.95797427574575,-47.10646115794781,faculdades
18,-22.818994042584382,-46.97168383990202,faculdades
19,-22.766669750265436,-47.043022729444246,faculdades
20,-22.808642872691625,-47.00459581659003,faculdades
21,-22.805262475313402,-47.03371150765286,faculdades
22,-22.88767456763798,-47.06229778584227,faculdades
23,-22.956854244106047,-47.02733662786419,faculdades
24,-22.924973961670744,-46.92077415341179,faculdades
25,-22.96502277775926,-47.177204410408066,faculdades
26,-22.850932583125694,-46.870763725012345,faculdades
27,-22.764894830175084,-47.01405989836772,faculdades
28,-22.955643301289395,-47.19928200386192,faculdades
29,-22.985545359817447,-47.06248470765235,faculdades
30,-22.922640687545655,-47.150934239454664,faculdades
31,-23.02142378647217,-47.10109729758687,faculdades
32,-22.888983353384706,-46.943439749458264,faculdades
33,-22.89613518727185,-47.11694782711609,faculdades
34,-22.858847106985984,-47.02987865384462,faculdades
35,-23.04412767135134,-47.126540005370735,faculdades
36,-22.838073895680502,-46.918155841276956,faculdades
37,-22.850890767183238,-47.01559916107176,faculdades
38,-22.954721492559504,-47.166289640741844,faculdades
39,-22.89120689825523,-47.149041003030064,faculdades
40,-22.831831698047427,-47.079903849125216,faculdades
41,-22.947986585495393,-47.19780571771791,faculdades
42,-22.78990612761112,-47.007217541230865,faculdades
43,-22.885377922690132,-47.142415262694755,faculdades
44,-22.762285676899243,-46.97360643698129,faculdades
45,-22.94866270936981,-47.09609476273495,faculdades
46,-22.766711687073542,-46.91027911600885,faculdades
47,-22.879042428251005,-46.948239220556225,faculdades
48,-22.84477162012288,-47.150001636557036,faculdades
49,-22.824779672111994,-47.14440136625197,faculdades
50,-22.845544619735428,-46.88035820472983,faculdades
51,-22.842895317013184,-47.00156203798426,faculdades
52,-23.03011888487218,-47.08811004363268,faculdades
53,-22.97317290474193,-47.14149307807926,faculdades
54,-22.738185468368123,-47.0771587298686,faculdades
55,-22.76506495782065,-46.97445332247334,faculdades
56,-22.797346390734756,-47.029896745065116,faculdades
57,-22.869690150913133,-47.03426287298888,faculdades
58,-22.75748959396024,-47.08705602833388,faculdades
59,-22.96346326035764,-47.080610417584474,faculdades
60,-22.750421333331246,-46.94645530161407,faculdades
61,-22.769936453056754,-46.92715223722621,faculdades
62,-22.82981384300684,-46.943670527215495,faculdades
63,-22.94186967891446,-47.1200916541174,faculdades
64,-22.891456112011483,-47.03038032606941,faculdades
65,-22.796189768121806,-46.96633093432065,faculdades
66,-22.82817009991556,-46.90341149513971,faculdades
67,-22.906642930915595,-47.01263504408772,faculdades
68,-22.78812054903332,-47.0913568587324,faculdades
69,-22.881731130089864,-46.97173888134264,faculdades
70,-22.889810106992158,-47.10742195687462,faculdades
71,-22.91548277761839,-47.212914254103765,faculdades
72,-22.783678627440732,-46.94647928679168,faculdades
73,-22.925448704710515,-47.17199536546235,faculdades
74,-23.009282242493995,-47.13879504141118,faculdades
75,-22.878878797037626,-46.93844473903218,faculdades
76,-22.84203728601173,-47.12598452813902,faculdades
77,-22.877176539649724,-46.98283138372523,faculdades
78,-22.921913934962905,-47.13987883247892,faculdades
79,-22.777211247915353,-46.94316408870326,faculdades
80,-22.89800518184123,-47.042480449354684,faculdades
81,-22.8941804939872,-46.87722302199199,faculdades
82,-22.749068306307926,-46.99847037076119,faculdades
83,-22.909081462633246,-47.01135267476301,faculdades
